provider,num_vecs,oversample,brute time (ms),reduced time (ms),binary time (ms),reduced vec. recall,binary recall
openai,10000,1,37.0997,26.6429,28.8881,0.773,0.429
openai,10000,2,37.0997,24.0962,23.2745,0.931,0.587
openai,10000,3,37.0997,26.2671,20.1835,0.972,0.676
openai,10000,4,37.0997,25.6688,20.1766,0.986,0.74
openai,10000,5,37.0997,26.0209,22.0016,0.995,0.777
openai,10000,6,37.0997,25.7616,21.9231,0.998,0.804
openai,10000,7,37.0997,26.0212,22.2211,0.998,0.837
openai,10000,8,37.0997,26.6807,21.1798,0.998,0.861
openai,10000,9,37.0997,26.3269,20.7299,0.998,0.87
openai,10000,10,37.0997,28.0057,21.9544,0.998,0.882
cohere,10000,1,35.6341,23.0924,21.1578,0.755,0.367
cohere,10000,2,35.6341,23.732,20.0946,0.953,0.5
cohere,10000,3,35.6341,23.1225,21.1869,0.989,0.582
cohere,10000,4,35.6341,23.0463,20.5421,0.998,0.653
cohere,10000,5,35.6341,23.0493,21.0417,0.999,0.702
cohere,10000,6,35.6341,23.089,20.0345,1.0,0.734
cohere,10000,7,35.6341,22.5848,20.0362,1.0,0.769
cohere,10000,8,35.6341,23.0586,20.0294,1.0,0.797
cohere,10000,9,35.6341,26.01,21.0454,1.0,0.814
cohere,10000,10,35.6341,23.0409,20.0343,1.0,0.829
