provider,num_vecs,oversample,brute time (ms),reduced time (ms),binary time (ms),reduced vec. recall,binary recall
openai,10000,1,41.9423,44.999,3.981,0.855,0.689
openai,10000,2,41.9423,45.5725,4.0012,0.985,0.882
openai,10000,3,41.9423,43.5119,4.0011,0.999,0.943
openai,10000,4,41.9423,46.001,4.0014,1.0,0.971
openai,10000,5,41.9423,45.5367,5.002,1.0,0.979
openai,10000,6,41.9423,47.0004,4.0012,1.0,0.987
openai,10000,7,41.9423,48.5801,6.0,1.0,0.993
openai,10000,8,41.9423,46.5276,4.0011,1.0,0.996
openai,10000,9,41.9423,44.9986,5.0012,1.0,0.997
openai,10000,10,41.9423,45.5799,5.0008,1.0,0.997
cohere,10000,1,28.2116,36.0026,3.9699,0.85,0.594
cohere,10000,2,28.2116,33.5648,4.0001,0.988,0.801
cohere,10000,3,28.2116,33.001,5.0011,0.999,0.884
cohere,10000,4,28.2116,32.5391,3.0017,1.0,0.927
cohere,10000,5,28.2116,31.9991,4.0011,1.0,0.951
cohere,10000,6,28.2116,33.5365,4.0013,1.0,0.957
cohere,10000,7,28.2116,32.9985,3.0014,1.0,0.968
cohere,10000,8,28.2116,34.541,5.0006,1.0,0.977
cohere,10000,9,28.2116,33.9993,4.0012,1.0,0.984
cohere,10000,10,28.2116,33.5374,5.0014,1.0,0.989
