provider,num_vecs,oversample,brute time (ms),reduced time (ms),binary time (ms),reduced vec. recall,binary recall
openai,10000,1,42.8587,35.8441,10.1012,0.852,0.596
openai,10000,2,42.8587,36.2509,4.0194,0.985,0.78
openai,10000,3,42.8587,35.8205,6.0455,0.998,0.856
openai,10000,4,42.8587,36.6181,6.0251,1.0,0.902
openai,10000,5,42.8587,36.3671,1.7433,1.0,0.933
openai,10000,6,42.8587,33.5741,4.89,1.0,0.951
openai,10000,7,42.8587,33.8073,1.7584,1.0,0.956
openai,10000,8,42.8587,33.837,3.8051,1.0,0.965
openai,10000,9,42.8587,33.9585,5.0352,1.0,0.973
openai,10000,10,42.8587,37.5307,4.0192,1.0,0.98
cohere,10000,1,29.097,26.5266,1.9715,0.851,0.537
cohere,10000,2,29.097,28.211,2.0012,0.988,0.728
cohere,10000,3,29.097,27.5413,2.0015,0.998,0.814
cohere,10000,4,29.097,26.6997,2.0004,1.0,0.874
cohere,10000,5,29.097,28.0022,2.0013,1.0,0.903
cohere,10000,6,29.097,27.718,3.007,1.0,0.921
cohere,10000,7,29.097,29.4619,4.9958,1.0,0.931
cohere,10000,8,29.097,28.2033,3.9961,1.0,0.941
cohere,10000,9,29.097,29.75,3.5104,1.0,0.95
cohere,10000,10,29.097,28.3118,3.9942,1.0,0.962
