provider,num_vecs,oversample,brute time (ms),reduced time (ms),binary time (ms),reduced vec. recall,binary recall
openai,10000,1,42.8802,31.0041,2.9782,0.821,0.511
openai,10000,5,42.8802,33.9998,2.9956,0.999,0.844
openai,10000,10,42.8802,31.0116,4.9961,0.999,0.921
openai,10000,15,42.8802,32.0027,6.5401,1.0,0.949
openai,10000,20,42.8802,31.011,10.0027,1.0,0.964
openai,10000,25,42.8802,31.9959,13.9991,1.0,0.974
openai,10000,30,42.8802,32.5575,15.9996,1.0,0.982
openai,10000,35,42.8802,32.9994,22.005,1.0,0.985
openai,10000,40,42.8802,33.9997,26.5338,1.0,0.989
openai,10000,45,42.8802,35.5182,31.013,1.0,0.992
openai,10000,50,42.8802,34.5183,38.0078,1.0,0.993
cohere,10000,1,32.675,25.5164,3.0065,0.83,0.559
cohere,10000,5,32.675,26.0001,3.0004,0.996,0.898
cohere,10000,10,32.675,27.0074,4.9996,0.999,0.956
cohere,10000,15,32.675,27.9997,5.0005,0.999,0.97
cohere,10000,20,32.675,29.0005,8.0001,0.999,0.981
cohere,10000,25,32.675,28.9947,10.5201,0.999,0.988
cohere,10000,30,32.675,30.0028,14.9988,0.999,0.99
cohere,10000,35,32.675,30.0015,18.9999,1.0,0.994
cohere,10000,40,32.675,30.5242,24.0033,1.0,0.994
cohere,10000,45,32.675,31.0091,29.0007,1.0,0.994
cohere,10000,50,32.675,31.0009,33.0,1.0,0.995
