provider,num_vecs,vectors sampled,brute time (ms),reduced time (ms),lsh time (ms),reduced vec. recall,lsh recall
cohere,10000,100,10.3634,0,0.0,0,0.93
cohere,10000,200,10.3634,0,1.0003,0,0.95
cohere,10000,300,10.3634,0,0.0,0,0.98
cohere,10000,400,10.3634,0,1.0008,0,0.98
cohere,10000,500,10.3634,0,1.0009,0,0.99
cohere,10000,600,10.3634,0,1.9986,0,0.99
cohere,10000,700,10.3634,0,1.9983,0,0.99
cohere,10000,800,10.3634,0,1.0021,0,0.99
cohere,10000,900,10.3634,0,1.9971,0,0.99
cohere,10000,1000,10.3634,0,2.0082,0,1.0
