provider,num_vecs,vectors sampled,brute time (ms),reduced time (ms),lsh time (ms),reduced vec. recall,lsh recall
openai,10000,10,39.9486,0,3.9681,0,0.64
openai,10000,20,39.9486,0,3.9974,0,0.79
openai,10000,30,39.9486,0,1.9992,0,0.83
openai,10000,40,39.9486,0,3.0016,0,0.86
openai,10000,50,39.9486,0,2.9997,0,0.86
openai,10000,60,39.9486,0,4.01,0,0.87
openai,10000,70,39.9486,0,4.0104,0,0.87
openai,10000,80,39.9486,0,2.9907,0,0.89
openai,10000,90,39.9486,0,3.0033,0,0.91
openai,10000,100,39.9486,0,4.0023,0,0.91
