provider,num_vecs,oversample,brute time (ms),reduced time (ms),lsh time (ms),reduced vec. recall,lsh recall
cohere,500000,10,1535.9568,0,25.5455,0,1.0
cohere,500000,20,1535.9568,0,12.005,0,1.0
cohere,500000,30,1535.9568,0,11.9983,0,1.0
cohere,500000,40,1535.9568,0,13.9966,0,1.0
cohere,500000,50,1535.9568,0,12.001,0,1.0
cohere,500000,60,1535.9568,0,12.0024,0,1.0
cohere,500000,70,1535.9568,0,12.0055,0,1.0
cohere,500000,80,1535.9568,0,13.5252,0,1.0
cohere,500000,90,1535.9568,0,11.997,0,1.0
cohere,500000,100,1535.9568,0,12.9996,0,1.0
