provider,num_vecs,oversample,brute time (ms),reduced time (ms),lsh time (ms),reduced vec. recall,lsh recall
cohere,500000,10,89.1962,0,3.9973,0,0.7
cohere,500000,20,89.1962,0,7.0034,0,0.7
cohere,500000,30,89.1962,0,4.9986,0,0.8
cohere,500000,40,89.1962,0,4.9995,0,0.8
cohere,500000,50,89.1962,0,8.9933,0,0.8
cohere,500000,60,89.1962,0,5.9945,0,0.8
cohere,500000,70,89.1962,0,5.0059,0,0.8
cohere,500000,80,89.1962,0,5.9952,0,0.8
cohere,500000,90,89.1962,0,6.0001,0,0.8
cohere,500000,100,89.1962,0,6.0061,0,0.9
