provider,num_vecs,vectors sampled,brute time (ms),reduced time (ms),lsh time (ms),reduced vec. recall,lsh recall
cohere,10000,10,33.0065,0,3.9957,0,0.85
cohere,10000,20,33.0065,0,5.0018,0,0.92
cohere,10000,30,33.0065,0,4.0013,0,0.93
cohere,10000,40,33.0065,0,3.9965,0,0.95
cohere,10000,50,33.0065,0,4.0004,0,0.95
cohere,10000,60,33.0065,0,2.997,0,0.96
cohere,10000,70,33.0065,0,3.9973,0,0.96
cohere,10000,80,33.0065,0,3.9969,0,0.96
cohere,10000,90,33.0065,0,3.9973,0,0.97
cohere,10000,100,33.0065,0,3.9972,0,0.97
