provider,num_vecs,oversample,brute time (ms),reduced time (ms),lsh time (ms),reduced vec. recall,lsh recall
cohere,500000,10,102.213,0,11.9999,0,1.0
cohere,500000,20,102.213,0,9.0009,0,1.0
cohere,500000,30,102.213,0,9.0002,0,1.0
cohere,500000,40,102.213,0,10.0,0,1.0
cohere,500000,50,102.213,0,10.0,0,1.0
cohere,500000,60,102.213,0,10.0001,0,1.0
cohere,500000,70,102.213,0,10.0074,0,1.0
cohere,500000,80,102.213,0,10.0067,0,1.0
cohere,500000,90,102.213,0,10.5153,0,1.0
cohere,500000,100,102.213,0,10.0002,0,1.0
