provider,num_vecs,vectors sampled,brute time (ms),reduced time (ms),lsh time (ms),reduced vec. recall,lsh recall
cohere,500000,1000,83.1329,0,6.287,0,0.9
cohere,500000,2000,83.1329,0,6.0328,0,0.9
cohere,500000,3000,83.1329,0,7.2819,0,0.9
cohere,500000,4000,83.1329,0,8.0349,0,0.9
cohere,500000,5000,83.1329,0,10.04,0,0.9
cohere,500000,6000,83.1329,0,8.0237,0,0.9
cohere,500000,7000,83.1329,0,9.7752,0,0.9
cohere,500000,8000,83.1329,0,11.7873,0,0.9
cohere,500000,9000,83.1329,0,11.7893,0,0.9
cohere,500000,10000,83.1329,0,12.0474,0,0.9
cohere,500000,11000,83.1329,0,11.7887,0,0.9
cohere,500000,12000,83.1329,0,12.8007,0,0.9
cohere,500000,13000,83.1329,0,13.0499,0,0.9
cohere,500000,14000,83.1329,0,13.8041,0,0.9
cohere,500000,15000,83.1329,0,15.8092,0,0.9
cohere,500000,16000,83.1329,0,17.8088,0,0.9
cohere,500000,17000,83.1329,0,17.8033,0,0.9
cohere,500000,18000,83.1329,0,15.7962,0,0.9
cohere,500000,19000,83.1329,0,17.8047,0,0.9
cohere,500000,20000,83.1329,0,17.8017,0,0.9
cohere,500000,21000,83.1329,0,19.8067,0,0.9
cohere,500000,22000,83.1329,0,21.8097,0,0.9
cohere,500000,23000,83.1329,0,21.3864,0,0.9
cohere,500000,24000,83.1329,0,23.3387,0,0.9
cohere,500000,25000,83.1329,0,22.9088,0,0.9
cohere,500000,26000,83.1329,0,22.8046,0,0.9
cohere,500000,27000,83.1329,0,23.7814,0,0.9
cohere,500000,28000,83.1329,0,26.2401,0,0.9
cohere,500000,29000,83.1329,0,24.6858,0,0.9
cohere,500000,30000,83.1329,0,25.4747,0,0.9
cohere,500000,31000,83.1329,0,24.5026,0,0.9
cohere,500000,32000,83.1329,0,25.4965,0,1.0
cohere,500000,33000,83.1329,0,28.5782,0,1.0
cohere,500000,34000,83.1329,0,26.0305,0,1.0
cohere,500000,35000,83.1329,0,29.8732,0,1.0
cohere,500000,36000,83.1329,0,29.8308,0,1.0
cohere,500000,37000,83.1329,0,28.83,0,1.0
cohere,500000,38000,83.1329,0,29.8407,0,1.0
cohere,500000,39000,83.1329,0,29.5806,0,1.0
cohere,500000,40000,83.1329,0,31.5806,0,1.0
cohere,500000,41000,83.1329,0,31.5772,0,1.0
cohere,500000,42000,83.1329,0,32.0628,0,1.0
cohere,500000,43000,83.1329,0,30.6621,0,1.0
cohere,500000,44000,83.1329,0,35.5917,0,1.0
cohere,500000,45000,83.1329,0,33.5848,0,1.0
cohere,500000,46000,83.1329,0,35.1001,0,1.0
cohere,500000,47000,83.1329,0,33.5839,0,1.0
cohere,500000,48000,83.1329,0,34.5893,0,1.0
cohere,500000,49000,83.1329,0,35.5935,0,1.0
cohere,500000,50000,83.1329,0,35.8464,0,1.0
cohere,500000,51000,83.1329,0,35.5913,0,1.0
cohere,500000,52000,83.1329,0,35.5912,0,1.0
cohere,500000,53000,83.1329,0,37.1025,0,1.0
cohere,500000,54000,83.1329,0,37.6086,0,1.0
cohere,500000,55000,83.1329,0,36.9531,0,1.0
cohere,500000,56000,83.1329,0,36.1348,0,1.0
cohere,500000,57000,83.1329,0,39.9678,0,1.0
cohere,500000,58000,83.1329,0,39.8417,0,1.0
cohere,500000,59000,83.1329,0,39.3896,0,1.0
cohere,500000,60000,83.1329,0,39.1999,0,1.0
cohere,500000,61000,83.1329,0,41.7409,0,1.0
cohere,500000,62000,83.1329,0,39.6705,0,1.0
cohere,500000,63000,83.1329,0,41.1212,0,1.0
cohere,500000,64000,83.1329,0,41.4633,0,1.0
cohere,500000,65000,83.1329,0,41.369,0,1.0
cohere,500000,66000,83.1329,0,41.607,0,1.0
cohere,500000,67000,83.1329,0,42.0953,0,1.0
cohere,500000,68000,83.1329,0,42.0398,0,1.0
cohere,500000,69000,83.1329,0,44.1252,0,1.0
cohere,500000,70000,83.1329,0,50.8757,0,1.0
cohere,500000,71000,83.1329,0,45.2538,0,1.0
cohere,500000,72000,83.1329,0,43.8613,0,1.0
cohere,500000,73000,83.1329,0,45.9082,0,1.0
cohere,500000,74000,83.1329,0,44.8936,0,1.0
cohere,500000,75000,83.1329,0,46.6051,0,1.0
cohere,500000,76000,83.1329,0,47.8631,0,1.0
cohere,500000,77000,83.1329,0,47.6365,0,1.0
cohere,500000,78000,83.1329,0,46.4964,0,1.0
cohere,500000,79000,83.1329,0,48.1428,0,1.0
cohere,500000,80000,83.1329,0,49.6323,0,1.0
cohere,500000,81000,83.1329,0,53.3867,0,1.0
cohere,500000,82000,83.1329,0,48.8793,0,1.0
cohere,500000,83000,83.1329,0,51.3866,0,1.0
cohere,500000,84000,83.1329,0,55.4264,0,1.0
cohere,500000,85000,83.1329,0,50.0775,0,1.0
cohere,500000,86000,83.1329,0,51.3788,0,1.0
cohere,500000,87000,83.1329,0,51.6378,0,1.0
cohere,500000,88000,83.1329,0,51.376,0,1.0
cohere,500000,89000,83.1329,0,51.3776,0,1.0
cohere,500000,90000,83.1329,0,52.8807,0,1.0
cohere,500000,91000,83.1329,0,53.3951,0,1.0
cohere,500000,92000,83.1329,0,51.6879,0,1.0
cohere,500000,93000,83.1329,0,57.1627,0,1.0
cohere,500000,94000,83.1329,0,53.6442,0,1.0
cohere,500000,95000,83.1329,0,54.8932,0,1.0
cohere,500000,96000,83.1329,0,53.1374,0,1.0
cohere,500000,97000,83.1329,0,51.3819,0,1.0
cohere,500000,98000,83.1329,0,54.8888,0,1.0
cohere,500000,99000,83.1329,0,52.3947,0,1.0
cohere,500000,100000,83.1329,0,59.1612,0,1.0
