provider,num_vecs,oversample,brute time (ms),reduced time (ms),lsh time (ms),reduced vec. recall,lsh recall
cohere,500000,10,80.8906,0,6.1912,0,0.6
cohere,500000,20,80.8906,0,2.0075,0,0.7
cohere,500000,30,80.8906,0,4.0265,0,0.7
cohere,500000,40,80.8906,0,4.0477,0,0.7
cohere,500000,50,80.8906,0,4.0213,0,0.7
cohere,500000,60,80.8906,0,3.8217,0,0.7
cohere,500000,70,80.8906,0,4.0218,0,0.7
cohere,500000,80,80.8906,0,4.0255,0,0.7
cohere,500000,90,80.8906,0,5.4605,0,0.7
cohere,500000,100,80.8906,0,4.0209,0,0.7
